,ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,number_of_guests,number_of_reviews,owner_id,animais de estimação são permitidos,não permite animais de estimação,não são permitidas festas ou eventos,não é adequado para bebês (menores de 2 anos),não é adequado para crianças de 2 a 12 anos,não é adequado para crianças ou bebês,proibido fumar,self check-in com equipe do edifício,self check-in com fechadura inteligente,self check-in com lockbox,self check-in com teclado com senha,é permitido fumar,academia,acesso ao lago,alarme de monóxido de carbono_x,aquecimento central,ar-condicionado,assadeira,babá eletrônica,banheira,banheira de bebê,berço,bicicletas,bidê,blackout nas cortinas,básico,cabides,cadeira alta,cafeteira,cafeteira com coador,cafeteira keurig,café da manhã,caiaque,carregador de veículos elétricos,casa térrea,cercadinho/berço portátil,chaleira de água quente,churrasqueira,chuveiro externo,cobertores e travesseiros extras,cofre,condicionador,conexão à ethernet,console de video game,cozinha,detector de fumaça_x,elevador,entrada privada,entrada/saída para esquis,espaço de trabalho exclusivo,estacionamento gratuito na rua,estacionamento incluído,estacionamento pago fora da propriedade,estacionamento pago no local,estadias de longa duração são permitidas,extintor de incêndio_x,fechadura inteligente,ferro de passar,fogueira,fogão,forno,freezer,frigobar,funcionários do edifício,gel de banho,itens básicos de cozinha,itens básicos de praia,jacuzzi,jogos de tabuleiro,kit de primeiros socorros_x,kitchenette,lareira interna,lava-louças,lavanderia nas proximidades,limpeza disponível durante a estadia,livros e brinquedos infantis,lixeira compactadora,local para guardar as roupas,louças e talheres,mesa de bilhar,mesa de jantar,mesa de ping pong,microondas,mosquiteiro,máquina de café espresso,máquina de lavar,máquina de pão,móveis externos,o anfitrião recebe você,panela elétrica de arroz,piano,piscina,portões de segurança para bebês,pratos e talheres para crianças,produtos de limpeza,protetores de cantos de mesa,protetores de lareira,protetores de tomada,pátio ou varanda,quintal,rampa para barcos,recomendações de babás,rede/grade de proteção nas janelas,refrigerador,roupa de cama,sabonete para o corpo,sauna,secador de cabelo,secadora,sistema de som,taças de vinho,teclado numérico,toca-discos,torradeira,tranca na porta do quarto_x,trocador,tv,tv a cabo,utensílios para churrasco,varal para secar roupas,ventilador de teto,ventiladores portáteis,vista para as águas,vista para o mar,wi-fi,wifi portátil,xampu,água quente,área de jantar externa,é permitido deixar as malas,alarme de monóxido de carbono_y,detector de fumaça_y,extintor de incêndio_y,kit de primeiros socorros_y,tranca na porta do quarto_y,Espaço inteiro: apartamento,Quarto inteiro em apartamento,Espaço inteiro: casa,Espaço inteiro: casa de veraneio,Espaço inteiro: condomínio,Espaço inteiro: cabana,Microcasa,Quarto inteiro em pousada,Contêiner de transporte,Quarto inteiro em condomínio,Quarto inteiro em suíte de hóspedes,Quarto inteiro em casa particular,Espaço inteiro: townhouse,Espaço inteiro: loft,Espaço inteiro: casa de campo,Quarto inteiro em casa,Espaço inteiro: suíte de hóspedes,Quarto inteiro em alojamento ecológico,Quarto em apart-hotel,Espaço inteiro: bangalô,Espaço inteiro: casa de hóspedes,Quarto em hotel,Espaço inteiro: chalé,Casa particular,Quarto inteiro em tenda,O lugar inteiro,Casa na terra,Acampamento,Espaço inteiro: vila,Quarto inteiro em townhouse,Casa/apto inteiro,Quarto inteiro em casa na terra,Quarto inteiro em microcasa,Quarto compartilhado em apartamento,Quarto compartilhado em casa de hóspedes
0,705329280630368001,4.0,3.0,5.0,7,0,461674895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52582512,3.0,3.0,3.0,8,0,234386130,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,47400000,3.0,3.0,5.0,6,0,314647968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,539130445821945881,2.0,1.0,2.0,2,0,440333957,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40868399,2.0,2.0,2.0,6,0,221900942,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,726132319312812974,2.0,2.0,3.0,6,0,475344499,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,705616984672526675,2.0,4.0,10.0,15,0,152266545,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,734258201885868535,3.0,4.0,6.0,12,0,105817120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,53587609,3.0,3.0,0.0,6,0,433968085,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,40777247,1.0,1.0,1.0,2,2,219082837,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
